Erros quadraticos:
Epoca;Treinamento;Validacao,Teste
96;0.010454442275480032;0.014370761015013498;0.013984205808169751
97;0.010401564375673392;0.01433583885865874;0.013949507002229987
98;0.010349163992961909;0.01430127831481848;0.013915282911564065
99;0.010297234977596999;0.014267078252915236;0.013881529136167277
100;0.010245771671832684;0.014233237616945563;0.013848241354989953
101;0.010194768873592594;0.014199755372460494;0.013815415257256436
102;0.01014422179952488;0.01416663045637567;0.01378304647718628
103;0.010094126047524576;0.014133861730178134;0.01375113053288371
104;0.010044477558846044;0.014101447937065767;0.013719662770126734
105;0.009995272579966205;0.014069387663512378;0.013688638311736393
106;0.009946507624393756;0.014037679305699385;0.01365805201314292
107;0.009898179434648737;0.014006321041191037;0.013627898424686483
108;0.009850284944661234;0.013975310806156764;0.0135981717610979
109;0.009802821242855765;0.013944646278359686;0.013568865878498171
